"track","stage","task_id","task","goal","status","owner","priority","depends_on","done_definition","affected_readme","completion_notes","last_updated"
"decoupling","phase-1-contracts","DEC-001","Define OCR, translation, rendering stage boundaries","Clarify each stage's input, output, error, and artifact boundaries, avoid mixing responsibilities at call layer","done","wxyhgk","P0","","runtime pipeline README clearly describes stage boundaries; translation/rendering/document_schema README consistent with actual entry points","backend/scripts/runtime/pipeline/README.md; backend/scripts/services/translation/README.md; backend/scripts/services/rendering/README.md; backend/scripts/services/document_schema/README.md","Added OCR/Normalize, Translation, Rendering three-stage contracts; clarified document.v1.json is stable handoff from OCR to downstream, translation stage only produces translation payload, rendering stage only consumes source PDF and translation artifacts.","2026-04-11"
"decoupling","phase-1-contracts","DEC-002","Define translation artifact manifest protocol","Replace rendering stage dependency on fixed page-*-deepseek.json filenames, ensuring rendering only consumes stable artifact protocols","done","wxyhgk","P0","DEC-001","Manifest fields, generation location, read fallback, and README documentation completed; legacy page JSON compatibility strategy defined","backend/scripts/services/translation/README.md; backend/scripts/services/rendering/README.md; backend/scripts/runtime/pipeline/README.md","Added translation-manifest.json; translation main line automatically persists manifest, rendering prioritizes manifest and falls back to legacy page-*-deepseek.json if missing.","2026-04-11"
"decoupling","phase-1-contracts","DEC-003","Define Render-only input protocol","Specify that render-only mode requires source PDF, translation manifest, or translations dir, and standardize error messages","done","wxyhgk","P0","DEC-002","render_stage/build_book entry points can read artifacts per protocol; errors for missing artifacts are readable; README updated","backend/scripts/services/rendering/README.md; backend/scripts/runtime/pipeline/README.md","Added render_inputs.py for unified Render-only input validation; build_book/run_render_stage now supports translation_manifest_path; unified Render-only input error thrown when source PDF, manifest, or legacy payload is missing.","2026-04-11"
"decoupling","phase-2-runtime-split","DEC-004","Add Translate workflow design and type","Add independent translation task type in Rust API layer to avoid indirect triggering via old full main chain","done","wxyhgk","P0","DEC-001","WorkflowKind, request validation, task creation, and lifecycle entry support Translate; old workflow compatibility preserved","doc/rust_api/04-ä»»å¡çå½å¨æ.md","Rust API added WorkflowKind::Translate; create_job supports translate workflow; lifecycle creates OCR sub-task first, then calls independent run_translate_only.py to produce only translation directory and translation-manifest.json, removing forced rendering.","2026-04-11"
"decoupling","phase-2-runtime-split","DEC-005","Add Render workflow design and type","Add independent rendering task type in Rust API layer to support re-running rendering based on existing translation artifacts","done","wxyhgk","P0","DEC-003,DEC-004","WorkflowKind, request validation, task creation, and lifecycle entry support Render; can reuse existing job artifacts","doc/rust_api/04-ä»»å¡çå½å¨æ.md","Rust API added WorkflowKind::Render; request points to existing job via source.artifact_job_id; lifecycle reuses source_pdf and translations_dir, calling independent run_render_only.py to re-run rendering without repeating OCR/translation.","2026-04-11"
"decoupling","phase-2-runtime-split","DEC-006","Split full task orchestration","Retain one-click full task but explicitly chain OCR, Translate, and Render internally instead of hiding translation and rendering in a single Python entry","done","wxyhgk","P1","DEC-004,DEC-005","Full task remains compatible with existing interfaces; stage status, cancellation, and failure attribution can be mapped to OCR/Translate/Render respectively","backend/scripts/runtime/pipeline/README.md","Full mineru workflow changed to OCR sub-task -> run_translate_only.py -> run_render_only.py; enters rendering stage after Translate-only success; failure/cancellation stops at corresponding stage; old create_job entry remains compatible.","2026-04-11"
"decoupling","phase-3-artifact-protocol","DEC-007","Unified task artifact recording","Register normalized document, translation manifest, and rendered PDF as trackable artifacts","done","wxyhgk","P1","DEC-002,DEC-005","Task details and download entries show three key artifacts; README explains artifact meaning and rerun purpose","doc/rust_api/06-artifact-list-and-download.md","Artifact manifest registered source_pdf, normalized_document_json, translation_manifest_json, translated_pdf; translation_manifest_json downloadable via artifacts/{artifact_key}, render workflow can reuse this protocol based on translations_dir.","2026-04-11"
"decoupling","phase-3-artifact-protocol","DEC-008","Remove rendering layer model name file dependency","Remove hardcoded deepseek filenames in rendering loader; prioritize manifest; use old directories as compatibility fallback","done","wxyhgk","P0","DEC-002","load_translated_pages supports manifest; old page-*-deepseek.json still renderable; tests cover both paths","backend/scripts/services/rendering/README.md; backend/scripts/runtime/pipeline/README.md","load_translated_pages now prioritizes translation-manifest.json and supports explicit manifest path; retained page-*-deepseek.json compatibility fallback; added manifest/legacy test paths.","2026-04-11"
"decoupling","phase-4-docs-and-validation","DEC-009","Complete decoupling regression tests","Cover OCR-only, Translate-only, Render-only, full task compatibility, and old translation directory fallback","done","wxyhgk","P1","DEC-004,DEC-005,DEC-008","New Python and Rust tests passed; test descriptions added to corresponding READMEs","backend/scripts/runtime/pipeline/README.md","Added Python manifest/render input protocol tests and Rust command/job snapshot/workflow tests; covered OCR-only, Translate-only, Render-only, full task compatibility, and legacy page-*-deepseek.json fallback; Python targeted tests 8 passed, Rust 76 passed.","2026-04-11"
"decoupling","phase-4-docs-and-validation","DEC-010","Update user and developer documentation entries","Ensure README, doc directory, and module READMEs point to current decoupling boundaries and task ledger","done","wxyhgk","P2","DEC-001","Root README retains navigation only; module READMEs define stable boundaries; CSV completion_notes added for every done task","README.md; doc/README.md; backend/scripts/runtime/pipeline/README.md","Root README and doc/README updated with Pipeline stage contracts, Rust API task lifecycle, artifact list and download, and architecture decoupling task ledger entries; module READMEs retain stable boundaries and specialized regression commands; CSV updated with all done item completion_notes.","2026-04-11"
"api_contracts","phase-5-api-hardening","API-011","Solidify main task API request and response contracts","Make create/list/detail workflow, grouped JSON request body, links/actions semantics stable verifiable interfaces","done","wxyhgk","P0","DEC-004,DEC-005,DEC-010","`/api/v1/jobs` uses grouped JSON as main contract; workflow route prefix and submit/list/detail view tests added; main documentation and API_SPEC aligned","doc/backend-api.md; backend/rust_api/API_SPEC.md","Switched `/api/v1/jobs` documentation to `source/ocr/translation/render/runtime` grouped structure; added mineru/translate/render and OCR independent entry boundaries; added Rust tests covering submission view, list/detail links, and actions' workflow prefix contracts.","2026-04-11"
"api_contracts","phase-5-api-hardening","API-012","Harden runtime, event stream, and failure diagnosis contracts","Define responsibility boundaries for `runtime.stage_history`, `/events`, `failure`, and `failure_diagnostic` and add test guards","done","wxyhgk","P0","API-011","Event payloads, terminal failure attribution, and stage timeline responsibilities documented and constrained by unit tests","doc/backend-api.md; doc/rust_api/04-ä»»å¡çå½å¨æ.md","Clarified `runtime.stage_history` as the source of truth for stage timelines, `/events` for append-only events, and `failure` for structured failures; added Rust tests for `stage_transition` and `job_terminal` payload assertions, locking key fields like stage_history/runtime/failure_category.","2026-04-11"
