Phase,Task,Status,Notes
Phase 0: pretext first-pass evaluation,Read pretext README and status docs,done,Confirmed as a candidate for programmable text layout and measurement kernel
Phase 0: pretext first-pass evaluation,Analyze reusable APIs and capability boundaries,done,Focus on prepare/layout/prepareWithSegments/layoutWithLines/measureLineStats
Phase 0: pretext first-pass evaluation,Formulate layout-fit internal evaluation conclusion,done,See notes/pretext-first-pass.md
Phase 0: pretext first-pass evaluation,Decide whether to perform small-sample PoC,done,Decided on dual-track DOM and pretext; pretext PoC placed on browser side
Phase 1: Sample preparation,Select 5 to 10 representative text block samples,done,Extracted 5 block samples from 20260407033349-ffe2e4
Phase 1: Sample preparation,Define minimum fields for fixtures samples,done,See fixtures/block-samples.v1.schema.json
Phase 1: Sample preparation,Place small samples into fixtures,done,See fixtures/sample-blocks.v1.json
Phase 2: HTML/DOM baseline,Establish minimal HTML typesetting experiment page,done,See html/index.html
Phase 2: HTML/DOM baseline,Implement browser-side parameter scanning,done,Currently supports font size and line height grid scanning
Phase 2: HTML/DOM baseline,Display fitting results and overflow status,done,Outputs line count estimate, height error, overflow, and score
Phase 3: pretext PoC,Establish pretext measurer small-sample PoC,done,See html/pretext.html; depends on locally installed @chenglou/pretext
Phase 3: pretext PoC,Record line count and height differences between pretext and DOM,done,First sample p002-b0002 verified; see notes/pretext-poc-results.md
Phase 4: Scoring script,Establish basic scoring script,todo,Calculate score based on height error, overflow, and readability penalty
Phase 4: Scoring script,Generate scoring results in output/,todo,Result files not committed to Git
Phase 5: Typst comparison,Select a few samples for Typst comparison,todo,Verify if parameters from HTML/pretext can be migrated back to Typst
Phase 5: Typst comparison,Record differences between HTML/pretext and Typst,todo,Focus on height, line count, overflow, and visual density differences
Phase 6: Summary,Write phase summary in notes,todo,Explain easy/hard to fit blocks, sensitive parameters, and integration suggestions
Phase 6: Summary,Provide integration suggestions for main project,todo,Clarify integration level, benefits, and risks
