"track","iteration","area","problem","hypothesis","action","status","validation","result","next_step","owner","last_updated"
"normalize-mainline","I001","strategy","Translation layer had too many ifs for non-body blocks, mainline disrupted by noise","While preserving layout translation, first only handle body text, non-body stays in document.v1, not entering translation main chain","Unify new mainline: body first, non-body not current translation candidate","done","Mainline direction confirmed, adjusted subsequent implementation accordingly","Strategy fixed: first stabilize body, then gradually add non-body semantics","Continue moving filtering forward to extraction and normalize layers","wxyhgk","2026-04-16"
"normalize-mainline","I002","translation-extractor","caption/header/footnote enter translation payload, forcing policy layer to continue branching","If extract_text_items only outputs body/abstract/heading, can reduce many translation layer condition branches","Modify translation/ocr/json_extractor.py, only extract primary body-like text blocks","done","pytest devtools/tests/translation/test_provider_continuation.py -q；pytest devtools/tests/translation/test_book_translation_policies.py -q","Verified body and heading continue to enter translation, caption/header no longer enter translation items","Continue observing whether ref_text type abnormal body is prematurely filtered","wxyhgk","2026-04-16"
"normalize-mainline","I003","translation-policy","Default translation strategy previously allowed text by default, relying on subsequent heuristics to intercept, state complex","Change default strategy to structural whitelist, only allow body-type text, can significantly reduce subsequent mixed/metadata intervention","Modify payload/translations.py and payload/parts/policy_mutations.py, default only allow body/abstract/heading; title/table/code/image default skip","done","pytest devtools/tests/translation/test_book_translation_policies.py -q；pytest devtools/tests/translation/test_translation_fast_paths.py -q","New template and old template after reset both uniformly go through body whitelist","Continue cleaning up no longer needed metadata/mixed rules","wxyhgk","2026-04-16"
"normalize-mainline","I004","ref-text-exception","Some OCR-corrupted body segments appear as ref_text, if skip_text at very beginning would falsely kill","ref_text needs to be retained first into ref_text special judgment, then decide if real reference or body false positive","Promote ref_text to base layer special case, not skip at default flags stage directly","done","pytest devtools/tests/translation/test_book_translation_policies.py -q","Numbered body abstracts can still retain translation, real references still skip","Later consider further moving semantic source of ref_text to normalize","wxyhgk","2026-04-16"
"normalize-mainline","I005","paddle-normalize","Paddle raw blocks too coarse, after cross-column absorption even with text correction, document.v1 line density still too coarse, affecting subsequent chain","If rebuilding pseudo-lines within Paddle adapter, and tightening bbox on body subtypes, can make document.v1 closer to real body density","Rebuild body pseudo-lines in provider_adapters/paddle/content_extract.py, and enable tighten_text_bbox for body/abstract/heading","done","Checked document.v1 line density for job 20260416111348-9141bd; related adapter tests added","Each line height of problem block on page 1 converged to about 12pt, significantly closer to MinerU style","Continue verifying normalize stability with more two-column books and table pages","wxyhgk","2026-04-16"
"normalize-mainline","I006","paddle-cross-column","Paddle absorbs cross-column body into a single block, leaving only empty bbox on other side, causing misalignment in rendering and translation","Should fix body block_content ownership in early normalize, not patch before rendering","Implement body_repair.py, split text back to absorber/peer for two-column body pages","doing","Existing page_spec directional tests passed; still need to expand regression with real books","First page and other local pages improved, but whole book still needs trial and error","Continue expanding failure samples with real PDFs, and append conclusions to this CSV","wxyhgk","2026-04-16"
"normalize-mainline","I007","document-v1-contract","Lack of stable trial-and-error ledger causes recurring issues without knowledge accumulation","Collect trial-and-error records from 2026-04-16 into doc/260416.csv as a continuous iteration index","Create doc/260416.csv and log problem/hypothesis/action/verification/result for each round","done","File created and added to doc/README.md entry","Today's trial-and-error records are now consolidated in a unified CSV instead of scattered in chats and temporary notes","Continue appending new iterations in subsequent rounds without overwriting old records","wxyhgk","2026-04-16"
"normalize-mainline","I008","body-only-regression","After body-first extraction update, normalized body blocks with empty sub_type are incorrectly discarded, and regression_check still uses old caption extraction expectations","Body extraction should be compatible with plain text blocks with empty sub_type; regression_check in body-only mainline must be updated to require only heading retention and exclude caption/footnote from extraction","Add empty sub_type body fallback in json_extractor.py and sync update extractor expectations in regression_check.py","done","pytest devtools/tests/translation/test_provider_continuation.py -q; pytest devtools/tests/translation/test_book_translation_policies.py -q; code review of extract_text_items usage points","Normalized body blocks with empty sub_type are now extracted; old caption/footnote extractor expectations tightened to prevent false positives","Continue auditing old hypotheses in extract_text_items usage points, fixing as discovered","wxyhgk","2026-04-16"
"normalize-mainline","I009","verification-chain","document_schema/regression_check.py fixture registry hardcoded invalid relative paths, making entire regression verification chain unable to run","If registry changed to stable path based on repo root, pointing to real existing samples in current repo, full regression chain can recover","Fix fixtures/registry.py: uniformly use REPO_ROOT absolute path, replace invalid MinerU job paths, and tighten generic/paddle fixture paths","done","python3 backend/scripts/devtools/tests/document_schema/regression_check.py --new-document data/jobs/20260416111348-9141bd/ocr/normalized/document.v1.json","Full regression_check runs through, `paddle_extractor_roles` results consistent with body-only mainline","If fixture directory moves later, keep registry at repo-resolvable path, no longer depend on historical output directory","wxyhgk","2026-04-16"
"normalize-mainline","I010","paddle-cross-column","Unit tests alone cannot prove body repair works on real books; need to verify actual split results on problem samples","If real sample page metadata shows body_repair_pair_count > 0 and absorber/peer text are separated, the normalize mainline is effective for that page","Check page 1 normalized metadata and repaired blocks for job 20260416111348-9141bd","done","Read page 1 metadata and block metadata from data/jobs/20260416111348-9141bd/ocr/normalized/document.v1.json","Page 1 hit 1 group of body repair; `p001-b0014` is absorber, `p001-b0015` is peer, text successfully split","Expand testing to more pages and more PDFs to ensure this is not a single-page fluke","wxyhgk","2026-04-16"
