id,status,task,files,verify
F01,done,Fix status card OCR visual stage and upload animation to prevent OCR substate from leaking into translation stage,"src/js/components/status/job-status-card.js;src/js/job-stage-presentation.js;src/js/job-status-summary.js","node --check src/js/components/status/job-status-card.js; node --check src/js/job-stage-presentation.js; node --check src/js/job-status-summary.js"
F02,done,Add OCR page number and progress bar fallback so that scenes like page 0/100 don't move only the bar without text,"src/js/job-status-summary.js;scripts/status-presentation-smoke.mjs","node scripts/status-presentation-smoke.mjs"
F03,done,Refactor the display order of translation stage cross-column/page, page policies, translation batches, and garbled fix,"src/js/components/status/job-status-card.js;src/js/job-status-summary.js","node scripts/status-presentation-smoke.mjs"
F04,done,Unify status card stage heights and black-and-white styles, ensuring consistent height for class=status-focus-card across stages,"src/styles/status-card.css;src/js/components/status/job-status-card.js","node --check src/js/components/status/job-status-card.js; npm --prefix ../desktop run sync-frontend"
F05,done,Adjust status header layout, cancel button on left, home button on right, display time in middle, and remove useless stop button,"src/js/components/status/job-status-card.js;src/styles/status-card.css;src/js/features/job-runtime/controller.js","node --check src/js/components/status/job-status-card.js; npm --prefix ../desktop run sync-frontend"
F06,done,Move side-by-side reading and download PDF for the completed stage to the bottom of the status card, and tighten middle text information,"src/js/components/status/job-status-card.js;src/styles/status-card.css","node --check src/js/components/status/job-status-card.js; npm --prefix ../desktop run sync-frontend"
F07,done,Make OCR, translation, render, and done stages clickable for review, retaining entry for future translation option extensions,"src/js/components/status/job-status-card.js;src/js/job-stage-presentation.js","node --check src/js/components/status/job-status-card.js; npm --prefix ../desktop run sync-frontend"
F08,done,Use status preview and real smoke to verify all stage displays, ensuring page numbers, progress bars, and animations appear in the correct stages,"scripts/frontend-status-smoke.mjs;scripts/status-presentation-smoke.mjs","node scripts/status-presentation-smoke.mjs; node scripts/frontend-status-smoke.mjs"
F09,done,Split recent tasks dialog controller/view boundary, controller no longer directly opens/closes dialog, reads/writes date inputs, or binds list DOM,"src/js/features/recent-jobs/controller.js;src/js/features/recent-jobs/view.js;src/js/components/dialogs/recent-jobs-dialog.js","node --check src/js/features/recent-jobs/controller.js; node --check src/js/features/recent-jobs/view.js; node --check src/js/components/dialogs/recent-jobs-dialog.js"
F10,done,Split side-by-side reading dialog view layer, encapsulate loading, iframe, toolbar, download button and open/close logic,"src/js/features/reader-dialog/controller.js;src/js/features/reader-dialog/view.js","node --check src/js/features/reader-dialog/controller.js; node --check src/js/features/reader-dialog/view.js"
F11,done,Tighten job-runtime and app-shell boundary, move dialog close, event list clearing, and button disable in runtime reset to view layer,"src/js/features/job-runtime/controller.js;src/js/features/job-runtime/runtime-reset.js;src/js/features/app-shell/view.js","node --check src/js/features/job-runtime/controller.js; node --check src/js/features/job-runtime/runtime-reset.js; node --check src/js/features/app-shell/view.js"
F12,done,Split status detail presentation/view, move detail dialog fallback DOM rendering into status-detail view,"src/js/status-detail-presentation.js;src/js/features/status-detail/view.js","node --check src/js/status-detail-presentation.js; node --check src/js/features/status-detail/view.js"
F13,done,Split job-ui-actions DOM update layer, retain action availability decision and upload state reset entry,"src/js/job-ui-actions.js;src/js/job-ui-actions-view.js","node --check src/js/job-ui-actions.js; node --check src/js/job-ui-actions-view.js"
F14,done,Split ui-presentation status card and shell fallback view, keep renderJob as data assembly layer,"src/js/ui-presentation.js;src/js/ui-presentation-view.js","node --check src/js/ui-presentation.js; node --check src/js/ui-presentation-view.js"
F15,done,Split main.js event binding, centralize page DOM events into main-events.js,"src/js/main.js;src/js/main-events.js","node --check src/js/main.js; node --check src/js/main-events.js"
F16,done,Split main.js startup routing and recent tasks initialization, move startup logic into main-startup.js,"src/js/main.js;src/js/main-startup.js","node --check src/js/main.js; node --check src/js/main-startup.js"
F17,done,Split reader.js basic view operations, move startup loading, progress bar, page number and empty state into reader-view.js,"src/js/reader.js;src/js/reader-view.js","node --check src/js/reader.js; node --check src/js/reader-view.js"
F18,done,Split reader.js PDF viewer control, move PDF.js loading, viewer controller and zoom logic into reader-pdf.js,"src/js/reader.js;src/js/reader-pdf.js","node --check src/js/reader.js; node --check src/js/reader-pdf.js"
F19,done,Split job-detail.js basic view helper, move text, link, modal and event state DOM tools into job-detail-view.js,"src/js/job-detail.js;src/js/job-detail-view.js","node --check src/js/job-detail.js; node --check src/js/job-detail-view.js"
F20,done,Split job-detail.js artifacts/markdown business block, move artifact list, Markdown contract and image preview into job-detail-artifacts.js,"src/js/job-detail.js;src/js/job-detail-artifacts.js","node --check src/js/job-detail.js; node --check src/js/job-detail-artifacts.js"
F21,done,Split job-detail.js events/stage-history business block, move stage history, event rendering and event pagination loading into job-detail-events.js,"src/js/job-detail.js;src/js/job-detail-events.js","node --check src/js/job-detail.js; node --check src/js/job-detail-events.js"
